Title,Price (in $),Difficulty,Subject Category,Provider,Course Length (in Days),Course Language
Reducing Racial Disparities in Health Care,950,beginner,Health & Medicine,"Harvard Medical School, Harvard T.H. Chan School of Public Health",35,English
Data Science for Business,1600,beginner,Business,Harvard Business School,28,English
Agribusiness Seminar,12500,advanced,Business,Harvard Business School,0,English
Energy to Electrochemistry Final Exam,0,beginner,Science,Harvard School of Engineering and Applied Sciences,28,English
Business Strategy: Evaluating and Executing the Strategic Plan,2950,intermediate,Business,Harvard DCE Professional & Executive Development,0,English
Innovation Strategy: Tools and Frameworks for Business,1850,intermediate,Business,Harvard School of Engineering and Applied Sciences,42,English
Title,Price (in $),Difficulty,Subject Category,Provider,Course Length (in Days),Course Language
Business Analytics,1850,intermediate,Business,Harvard Business School,56,English
Backyard Meteorology: The Science of Weather,0,beginner,Science,Harvard Faculty of Arts & Sciences,42,English
Managing Happiness,0,beginner,Business,"Harvard Business School, Harvard Kennedy School",0,English
Clinical Care for Autistic Adults,15,advanced,Health & Medicine,Harvard Medical School,0,English
"Advances in Genetic Medicines: Approved Therapies in CRISPR, Gene Therapies, and Oligos",495,advanced,Health & Medicine,Harvard Medical School,0,English
Negotiation and Leadership,5497,intermediate,Business,Harvard Law School,0,English
Title,Price (in $),Difficulty,Subject Category,Provider,Course Length (in Days),Course Language
Clinical Drug Development,1025,advanced,Health & Medicine,Harvard Medical School,0,English
In-Place Filter Testing Workshop,3000,advanced,Health & Medicine,Harvard T.H. Chan School of Public Health,0,English
Future Proof with AI ,199,intermediate,Business,Harvard Business School,0,English
Child Protection: Children's Rights in Theory and Practice,0,beginner,Social Sciences,Harvard T.H. Chan School of Public Health,112,English
Hinduism Through Its Scriptures,0,beginner,Humanities,Harvard Faculty of Arts & Sciences,28,English
Reducing Racial Disparities in Health Care,950,beginner,Health & Medicine,"Harvard Medical School, Harvard T.H. Chan School of Public Health",35,English
Title,Price (in $),Difficulty,Subject Category,Provider,Course Length (in Days),Course Language
Data Science for Business,1600,beginner,Business,Harvard Business School,28,English
Strategy Execution,1850,intermediate,Business,Harvard Business School,56,English
Child Protection: Children's Rights in Theory and Practice,0,beginner,Social Sciences,Harvard T.H. Chan School of Public Health,112,English
Statistics and R,0,intermediate,Data Science,Harvard T.H. Chan School of Public Health,28,English
The Einstein Revolution,0,beginner,Humanities,Department of the History of Science,0,English
Managing Innovation,13500,advanced,Business,Harvard Business School,7,English
